iter	Passed	Remaining
791	2765	726
792	2768	722
793	2771	719
794	2775	715
795	2778	712
796	2782	708
797	2785	705
798	2789	701
799	2793	698
800	2796	694
801	2799	691
802	2803	687
803	2806	684
804	2810	680
805	2813	677
806	2817	673
807	2821	670
808	2824	666
809	2828	663
810	2832	659
811	2835	656
812	2838	652
813	2842	649
814	2845	645
815	2848	642
816	2852	638
817	2856	635
818	2859	632
819	2863	628
820	2867	625
821	2870	621
822	2874	618
823	2877	614
824	2881	611
825	2884	607
826	2888	604
827	2891	600
828	2895	597
829	2898	593
830	2902	590
831	2905	586
832	2908	583
833	2911	579
834	2915	576
835	2918	572
836	2921	568
837	2924	565
838	2928	561
839	2931	558
840	2934	554
841	2938	551
842	2941	547
843	2944	544
844	2947	540
845	2951	537
846	2954	533
847	2957	530
848	2960	526
849	2964	523
850	2967	519
851	2970	515
852	2973	512
853	2976	508
854	2980	505
855	2983	501
856	2986	498
857	2989	494
858	2993	491
859	2996	487
860	2999	484
861	3002	480
862	3005	477
863	3009	473
864	3012	470
865	3015	466
866	3018	463
867	3022	459
868	3025	456
869	3028	452
870	3031	449
871	3035	445
872	3038	441
873	3041	438
874	3044	434
875	3047	431
876	3051	427
877	3054	424
878	3057	420
879	3060	417
880	3064	413
881	3067	410
882	3070	406
883	3073	403
884	3077	399
885	3080	396
886	3083	392
887	3086	389
888	3090	385
889	3093	382
890	3096	378
891	3099	375
892	3102	371
893	3106	368
894	3109	364
895	3112	361
896	3116	357
897	3118	354
898	3122	350
899	3125	347
900	3128	343
901	3132	340
902	3135	336
903	3138	333
904	3141	329
905	3144	326
906	3148	322
907	3151	319
908	3154	315
909	3158	312
910	3161	308
911	3164	305
912	3168	301
913	3171	298
914	3174	294
915	3177	291
916	3181	287
917	3184	284
918	3187	280
919	3191	277
920	3194	274
921	3197	270
922	3201	267
923	3204	263
924	3207	260
925	3210	256
926	3214	253
927	3217	249
928	3220	246
929	3223	242
930	3226	239
931	3230	235
932	3233	232
933	3236	228
934	3240	225
935	3243	221
936	3246	218
937	3249	214
938	3253	211
939	3256	207
940	3259	204
941	3262	200
942	3265	197
943	3269	193
944	3272	190
945	3275	186
946	3278	183
947	3282	180
948	3285	176
949	3289	173
950	3292	169
951	3295	166
952	3298	162
953	3302	159
954	3305	155
955	3308	152
956	3312	148
957	3315	145
958	3318	141
959	3321	138
960	3325	134
961	3328	131
962	3331	128
963	3334	124
964	3338	121
965	3341	117
966	3344	114
967	3347	110
968	3351	107
969	3354	103
970	3357	100
971	3360	96
972	3364	93
973	3367	89
974	3370	86
975	3374	82
976	3377	79
977	3380	76
978	3383	72
979	3387	69
980	3390	65
981	3393	62
982	3397	58
983	3400	55
984	3403	51
985	3406	48
986	3410	44
987	3413	41
988	3416	38
989	3419	34
990	3423	31
991	3426	27
992	3429	24
993	3432	20
994	3436	17
995	3439	13
996	3442	10
997	3445	6
998	3449	3
999	3452	0
