iter	Logloss
0	0.6671797128
1	0.6403101414
2	0.6177590691
3	0.5958006177
4	0.5761199095
5	0.5587183752
6	0.5420008229
7	0.5286350689
8	0.5142259179
9	0.4993175508
10	0.4841093987
11	0.4710948333
12	0.4585614466
13	0.446801768
14	0.4371021601
15	0.4272754233
16	0.4184930545
17	0.4090371274
18	0.4015680747
19	0.3932966996
20	0.3842923918
21	0.3767133787
22	0.3710993707
23	0.3645834015
24	0.3589226143
25	0.3540254691
26	0.3486248414
27	0.3438886512
28	0.3387971082
29	0.3346424765
30	0.3301099072
31	0.3260006751
32	0.3227766954
33	0.3190310428
34	0.3153338043
35	0.3117922834
36	0.3083228346
37	0.3051051654
38	0.3021342173
39	0.299389628
40	0.296981588
41	0.2943868402
42	0.2923279703
43	0.2898169446
44	0.2871502525
45	0.2851648598
46	0.2831429329
47	0.2815080645
48	0.2797065182
49	0.2777229906
50	0.2759998013
51	0.2743125331
52	0.2726395209
53	0.2716561625
54	0.2703730702
55	0.2692954893
56	0.2677722929
57	0.2667251146
58	0.2654704832
59	0.264518345
60	0.2630562605
61	0.2621317145
62	0.2610061792
63	0.2600279816
64	0.2589502219
65	0.2580245263
66	0.2570289302
67	0.2559808322
68	0.2550289239
69	0.2540592594
70	0.2531625868
71	0.2524221172
72	0.2517628404
73	0.2510682047
74	0.2502192565
75	0.2497825064
76	0.2490136014
77	0.2484810447
78	0.2479635361
79	0.2472533158
80	0.2464344125
81	0.2457321889
82	0.2452469223
83	0.2448228698
84	0.2443814443
85	0.2437345585
86	0.2430342766
87	0.2423780401
88	0.2417301323
89	0.2413829294
90	0.2407589861
91	0.2404113744
92	0.2398217681
93	0.239484478
94	0.2390013575
95	0.2384926376
96	0.2379851439
97	0.237533448
98	0.2371175709
99	0.236689354
100	0.2363150442
101	0.2357189487
102	0.2352426752
103	0.2348428936
104	0.2342696894
105	0.2338258369
106	0.2335494286
107	0.2330836811
108	0.2325796109
109	0.2321852712
110	0.2318697994
111	0.2315668974
112	0.2312005332
113	0.2307926528
114	0.2305719145
115	0.2301999041
116	0.2298564057
117	0.2296287693
118	0.2293269404
119	0.2288922341
120	0.228557039
121	0.2282315011
122	0.2278436762
123	0.2274920023
124	0.2272446426
125	0.2269999655
126	0.2266621388
127	0.2262562512
128	0.2260030409
129	0.2258011062
130	0.2254892623
131	0.2253293292
132	0.2249800825
133	0.2247071999
134	0.2244724866
135	0.224151062
136	0.2238608321
137	0.2236198084
138	0.2233778393
139	0.2231866861
140	0.2229225411
141	0.2226745427
142	0.2224731701
143	0.2222280075
144	0.2219721146
145	0.2216967538
146	0.22151978
147	0.2211987642
148	0.2209813983
149	0.2207390972
150	0.2204257714
151	0.2202125188
152	0.2199561916
153	0.2197048208
154	0.2194303542
155	0.2192667933
156	0.2191002943
157	0.2188485147
158	0.2186056515
159	0.2184102572
160	0.218211695
161	0.2180486961
162	0.2177440057
163	0.2175595462
164	0.2172810941
165	0.217065772
166	0.2169498078
167	0.2167818014
168	0.2165958601
169	0.216414032
170	0.2162269155
171	0.2159886765
172	0.2157623943
173	0.2154961798
174	0.2153342795
175	0.215147214
176	0.2149713899
177	0.2147548926
178	0.2146133033
179	0.2144704111
